n=26: 230230 subsets, initial violations 4029
  ..step 424673280: cur 909 best 797
  ..step 425721856: cur 875 best 797
  ..step 426770432: cur 918 best 797
  ..step 427819008: cur 1045 best 797
  ..step 428867584: cur 1020 best 797
  ..step 429916160: cur 1071 best 797
  ..step 430964736: cur 1193 best 797
  ..step 432013312: cur 1271 best 797
  ..step 433061888: cur 914 best 797
  ..step 434110464: cur 1009 best 797
  ..step 435159040: cur 1267 best 797
  ..step 436207616: cur 952 best 797
  ..step 437256192: cur 1009 best 797
  ..step 438304768: cur 1072 best 797
  ..step 439353344: cur 1034 best 797
  ..step 440401920: cur 1003 best 797
  ..step 441450496: cur 887 best 797
  ..step 442499072: cur 1413 best 797
  ..step 443547648: cur 1076 best 797
  ..step 444596224: cur 877 best 797
  ..step 445644800: cur 896 best 797
  ..step 446693376: cur 870 best 797
  ..step 447741952: cur 886 best 797
  ..step 448790528: cur 1036 best 797
  ..step 449839104: cur 923 best 797
  ..step 450887680: cur 1344 best 797
  ..step 451936256: cur 953 best 797
  ..step 452984832: cur 1048 best 797
  ..step 454033408: cur 1514 best 797
  ..step 455081984: cur 1295 best 797
  ..step 456130560: cur 1093 best 797
  ..step 457179136: cur 884 best 797
  ..step 458227712: cur 1477 best 797
  ..step 459276288: cur 1451 best 797
  ..step 460324864: cur 1127 best 797
  ..step 461373440: cur 1869 best 797
  ..step 462422016: cur 979 best 797
  ..step 463470592: cur 902 best 797
  ..step 464519168: cur 1192 best 797
  ..step 465567744: cur 893 best 797
  ..step 466616320: cur 1045 best 797
  ..step 467664896: cur 1069 best 797
  ..step 468713472: cur 1138 best 797
  ..step 469762048: cur 1671 best 797
  ..step 470810624: cur 890 best 797
  ..step 471859200: cur 1068 best 797
  ..step 472907776: cur 875 best 797
  ..step 473956352: cur 977 best 797
  ..step 475004928: cur 1136 best 797
  ..step 476053504: cur 921 best 797
  ..step 477102080: cur 932 best 797
  ..step 478150656: cur 865 best 797
  ..step 479199232: cur 1015 best 797
  ..step 480247808: cur 1127 best 797
  ..step 481296384: cur 953 best 797
  ..step 482344960: cur 908 best 797
  ..step 483393536: cur 884 best 797
  ..step 484442112: cur 878 best 797
  ..step 485490688: cur 1000 best 797
  ..step 486539264: cur 968 best 797
  ..step 487587840: cur 920 best 797
  ..step 488636416: cur 1625 best 797
  ..step 489684992: cur 863 best 797
  ..step 490733568: cur 1522 best 797
  ..step 491782144: cur 1118 best 797
  ..step 492830720: cur 1021 best 797
  ..step 493879296: cur 1465 best 797
  ..step 494927872: cur 1446 best 797
  ..step 495976448: cur 1081 best 797
  ..step 497025024: cur 1152 best 797
  ..step 498073600: cur 911 best 797
  ..step 499122176: cur 1462 best 797
  ..step 500170752: cur 895 best 797
  ..step 501219328: cur 1003 best 797
  ..step 502267904: cur 895 best 797
  ..step 503316480: cur 859 best 797
  ..step 504365056: cur 1005 best 797
  ..step 505413632: cur 884 best 797
  ..step 506462208: cur 1052 best 797
  ..step 507510784: cur 1138 best 797
  ..step 508559360: cur 1207 best 797
  ..step 509607936: cur 881 best 797
  ..step 510656512: cur 1052 best 797
  ..step 511705088: cur 1026 best 797
  ..step 512753664: cur 864 best 797
  ..step 513802240: cur 1151 best 797
  ..step 514850816: cur 1051 best 797
  ..step 515899392: cur 1039 best 797
  ..step 516947968: cur 942 best 797
  ..step 517996544: cur 1197 best 797
  ..step 519045120: cur 1321 best 797
  ..step 520093696: cur 941 best 797
  ..step 521142272: cur 1974 best 797
  ..step 522190848: cur 1158 best 797
  ..step 523239424: cur 868 best 797
  ..step 524288000: cur 876 best 797
  ..step 525336576: cur 890 best 797
  ..step 526385152: cur 1443 best 797
  ..step 527433728: cur 889 best 797
  ..step 528482304: cur 986 best 797
  ..step 529530880: cur 1062 best 797
  ..step 530579456: cur 1011 best 797
  ..step 531628032: cur 1140 best 797
  ..step 532676608: cur 1072 best 797
  ..step 533725184: cur 1073 best 797
  ..step 534773760: cur 1351 best 797
  ..step 535822336: cur 1062 best 797
  ..step 536870912: cur 1604 best 797
  ..step 537919488: cur 894 best 797
  ..step 538968064: cur 1635 best 797
  ..step 540016640: cur 958 best 797
  ..step 541065216: cur 1027 best 797
  ..step 542113792: cur 1106 best 797
  ..step 543162368: cur 871 best 797
  ..step 544210944: cur 1232 best 797
  ..step 545259520: cur 1035 best 797
  ..step 546308096: cur 1113 best 797
  ..step 547356672: cur 1017 best 797
  ..step 548405248: cur 1553 best 797
  ..step 549453824: cur 1015 best 797
  ..step 550502400: cur 904 best 797
  ..step 551550976: cur 885 best 797
  ..step 552599552: cur 1002 best 797
  ..step 553648128: cur 949 best 797
  ..step 554696704: cur 900 best 797
  ..step 555745280: cur 1066 best 797
  ..step 556793856: cur 957 best 797
  ..step 557842432: cur 1638 best 797
  ..step 558891008: cur 1035 best 797
  ..step 559939584: cur 888 best 797
  ..step 560988160: cur 888 best 797
  ..step 562036736: cur 878 best 797
  ..step 563085312: cur 874 best 797
  ..step 564133888: cur 998 best 797
  ..step 565182464: cur 1404 best 797
  ..step 566231040: cur 860 best 797
  ..step 567279616: cur 1107 best 797
  ..step 568328192: cur 898 best 797
  ..step 569376768: cur 901 best 797
  ..step 570425344: cur 1100 best 797
  ..step 571473920: cur 966 best 797
  ..step 572522496: cur 881 best 797
  ..step 573571072: cur 1045 best 797
  ..step 574619648: cur 1194 best 797
  ..step 575668224: cur 855 best 797
  ..step 576716800: cur 907 best 797
  ..step 577765376: cur 863 best 797
  ..step 578813952: cur 1026 best 797
  ..step 579862528: cur 988 best 797
  ..step 580911104: cur 863 best 797
  ..step 581959680: cur 1096 best 797
  ..step 583008256: cur 1119 best 797
  ..step 584056832: cur 886 best 797
  ..step 585105408: cur 1206 best 797
  ..step 586153984: cur 1210 best 797
  ..step 587202560: cur 1126 best 797
  ..step 588251136: cur 1127 best 797
  ..step 589299712: cur 1092 best 797
  ..step 590348288: cur 898 best 797
  ..step 591396864: cur 933 best 797
  ..step 592445440: cur 878 best 797
  ..step 593494016: cur 928 best 797
  ..step 594542592: cur 2044 best 797
  ..step 595591168: cur 892 best 797
  ..step 596639744: cur 977 best 797
  ..step 597688320: cur 884 best 797
  ..step 598736896: cur 896 best 797
  ..step 599785472: cur 1218 best 797
  ..step 600834048: cur 1006 best 797
  ..step 601882624: cur 877 best 797
  ..step 602931200: cur 879 best 797
  ..step 603979776: cur 1008 best 797
  ..step 605028352: cur 990 best 797
  ..step 606076928: cur 909 best 797
  ..step 607125504: cur 1246 best 797
  ..step 608174080: cur 1718 best 797
  ..step 609222656: cur 1129 best 797
  ..step 610271232: cur 1499 best 797
  ..step 611319808: cur 925 best 797
  ..step 612368384: cur 868 best 797
  ..step 613416960: cur 995 best 797
  ..step 614465536: cur 1011 best 797
  ..step 615514112: cur 1400 best 797
  ..step 616562688: cur 1771 best 797
  ..step 617611264: cur 1209 best 797
  ..step 618659840: cur 866 best 797
  ..step 619708416: cur 854 best 797
  ..step 620756992: cur 1039 best 797
  ..step 621805568: cur 1018 best 797
  ..step 622854144: cur 1115 best 797
  ..step 623902720: cur 1366 best 797
  ..step 624951296: cur 899 best 797
  ..step 625999872: cur 863 best 797
  ..step 627048448: cur 847 best 797
  ..step 628097024: cur 844 best 797
  ..step 629145600: cur 1022 best 797
  ..step 630194176: cur 896 best 797
  ..step 631242752: cur 1024 best 797
  ..step 632291328: cur 1369 best 797
  ..step 633339904: cur 880 best 797
  ..step 634388480: cur 1040 best 797
  ..step 635437056: cur 962 best 797
  ..step 636485632: cur 926 best 797
  ..step 637534208: cur 1124 best 797
  ..step 638582784: cur 965 best 797
  ..step 639631360: cur 922 best 797
  ..step 640679936: cur 904 best 797
  ..step 641728512: cur 1334 best 797
  ..step 642777088: cur 1389 best 797
  ..step 643825664: cur 870 best 797
  ..step 644874240: cur 978 best 797
  ..step 645922816: cur 861 best 797
  ..step 646971392: cur 1382 best 797
  ..step 648019968: cur 1215 best 797
  ..step 649068544: cur 898 best 797
  ..step 650117120: cur 1085 best 797
  ..step 651165696: cur 867 best 797
  ..step 652214272: cur 1023 best 797
  ..step 653262848: cur 1215 best 797
